Product_ID,Product_Name,Dividend_Date,Shares_Held,Dividend_per_Share,Total_Payment
1046130,HON HAI PRECISION INDUSTRY LTD,2024-07-02,0.0,5.4,0.0
1046479,CHINA COMMUNICATIONS SERVI-H,2024-06-28,0.0,0.2386,0.0
1046285,LENOVO GROUP LTD,2024-07-31,0.0,0.3,0.0
1046285,LENOVO GROUP LTD,2024-11-27,0.0,0.085,0.0
1009152,"Bank of Communications Co., Ltd.",2024-07-02,0.0,0.4111,0.0
1009152,"Bank of Communications Co., Ltd.",2025-01-16,0.0,0.1967,0.0
1009152,"Bank of Communications Co., Ltd.",2025-04-11,0.0,0.2151,0.0
1046260,FIRST FINANCIAL HOLDING CO,2024-08-08,3946183.42,0.85,3354255.9069999997
1046468,COSCO SHIPPING Ports Ltd,2024-04-15,0.0,0.155,0.0
1046468,COSCO SHIPPING Ports Ltd,2024-09-11,0.0,0.122,0.0
1046468,COSCO SHIPPING Ports Ltd,2025-04-03,0.0,0.142,0.0
1046240,CHINA SHENHUA ENERGY CO-H,2024-06-27,0.0,2.491,0.0
1046617,CHINA STATE CONSTRUCTION INTERNATI,2024-06-17,0.0,0.285,0.0
1046617,CHINA STATE CONSTRUCTION INTERNATI,2024-09-16,0.0,0.33,0.0
1046277,HANG LUNG PROPERTIES LTD,2024-05-08,0.0,0.6,0.0
1046277,HANG LUNG PROPERTIES LTD,2024-08-14,0.0,0.12,0.0
1046277,HANG LUNG PROPERTIES LTD,2025-05-07,0.0,0.4,0.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2024-07-04,0.0,0.2,0.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2024-10-17,0.0,0.1,0.0
1046373,REALTEK SEMICONDUCTOR CORP,2024-09-05,0.0,15.5,0.0
1046548,CHINA COSCO HOLDINGS-H,2024-05-31,1836868.0,0.2526,463992.8568
1046548,CHINA COSCO HOLDINGS-H,2024-10-08,1836868.0,0.5691,1045361.5788000001
1046548,CHINA COSCO HOLDINGS-H,2025-05-30,0.0,1.122,0.0
1046500,TAIWAN BUSINESS BANK,2024-08-08,10680837.0,0.2,2136167.4
1046724,NOVATEK MICROELECTRONICS CORP.,2024-07-10,0.0,32.0,0.0
1046827,VIPSHOP HOLDINGS,2024-03-14,0.0,0.43,0.0
1046638,Guangzhou Automobile Group Co Ltd,2024-06-03,3223338.0,0.1099,354244.84619999997
1046638,Guangzhou Automobile Group Co Ltd,2024-09-12,3223338.0,0.0328,105725.48640000001
1046184,WHARF HOLDINGS LTD,2024-04-09,0.0,0.2,0.0
1046184,WHARF HOLDINGS LTD,2024-08-27,0.0,0.2,0.0
1046184,WHARF HOLDINGS LTD,2025-04-03,0.0,0.2,0.0
1046525,CHINA JINMAO HOLDINGS GROUP,2024-09-13,11339092.0,0.03,340172.76
1046202,HENDERSON LAND DEVELOPMENT,2024-06-05,0.0,1.3,0.0
1046202,HENDERSON LAND DEVELOPMENT,2024-09-03,0.0,0.5,0.0
1009079,Apple Inc,2024-02-09,340357.0,0.24,81685.68
1009079,Apple Inc,2024-05-10,340357.0,0.25,85089.25
1009079,Apple Inc,2024-08-12,340357.0,0.25,85089.25
1009079,Apple Inc,2024-11-08,340357.0,0.25,85089.25
1009079,Apple Inc,2025-02-10,459343.0,0.25,114835.75
1009079,Apple Inc,2025-05-12,0.0,0.26,0.0
1009082,Microsoft Corp,2024-02-14,17461.0,0.75,13095.75
1009082,Microsoft Corp,2024-05-15,17461.0,0.75,13095.75
1009082,Microsoft Corp,2024-08-15,17461.0,0.75,13095.75
1009082,Microsoft Corp,2024-11-21,17461.0,0.83,14492.63
1009082,Microsoft Corp,2025-02-20,28685.0,0.83,23808.55
1009082,Microsoft Corp,2025-05-15,143393.0,0.83,119016.18999999999
1045716,Abbott Laboratories,2024-01-11,42253.0,0.55,23239.15
1045716,Abbott Laboratories,2024-04-12,42253.0,0.55,23239.15
1045716,Abbott Laboratories,2024-07-15,42253.0,0.55,23239.15
1045716,Abbott Laboratories,2024-10-15,42253.0,0.55,23239.15
1045716,Abbott Laboratories,2025-01-15,42253.0,0.59,24929.27
1045716,Abbott Laboratories,2025-04-15,0.0,0.59,0.0
1009090,Pfizer Inc,2024-01-25,112172.0,0.42,47112.24
1009090,Pfizer Inc,2024-05-09,112172.0,0.42,47112.24
1009090,Pfizer Inc,2024-07-26,112172.0,0.42,47112.24
1009090,Pfizer Inc,2024-11-08,112172.0,0.42,47112.24
1009090,Pfizer Inc,2025-01-24,128195.0,0.43,55123.85
1009090,Pfizer Inc,2025-05-09,0.0,0.43,0.0
1045951,Micron Technology Inc,2024-07-08,24078.0,0.115,2768.9700000000003
1045951,Micron Technology Inc,2024-10-07,24078.0,0.115,2768.9700000000003
1045951,Micron Technology Inc,2024-12-30,24078.0,0.115,2768.9700000000003
1045951,Micron Technology Inc,2025-03-31,0.0,0.115,0.0
1050518,Chemed Corp,2024-02-23,6088.0,0.4,2435.2000000000003
1050518,Chemed Corp,2024-05-30,6088.0,0.4,2435.2000000000003
1050518,Chemed Corp,2024-08-12,6088.0,0.5,3044.0
1050518,Chemed Corp,2024-11-18,6088.0,0.5,3044.0
1050518,Chemed Corp,2025-02-24,21422.0,0.5,10711.0
1050518,Chemed Corp,2025-05-29,0.0,0.5,0.0
1045664,Analog Devices Inc,2024-06-04,126235.0,0.92,116136.20000000001
1045664,Analog Devices Inc,2024-09-03,126235.0,0.92,116136.20000000001
1045664,Analog Devices Inc,2024-12-09,126235.0,0.92,116136.20000000001
1045664,Analog Devices Inc,2025-03-04,56490.0,0.99,55925.1
1046398,FIRST PACIFIC CO,2024-06-18,4823796.0,0.125,602974.5
1046398,FIRST PACIFIC CO,2024-09-05,4823796.0,0.12,578855.52
1045692,Amgen Inc,2025-02-14,14302.0,2.38,34038.76
1045692,Amgen Inc,2025-05-16,143434.0,2.38,341372.92
1012343,Air Products & Chemicals Inc,2025-04-01,100117.0,1.79,179209.43
1045722,Broadcom Ltd,2024-03-20,0.0,0.525,0.0
1045722,Broadcom Ltd,2024-06-24,0.0,0.525,0.0
1045722,Broadcom Ltd,2024-09-19,0.0,0.53,0.0
1045722,Broadcom Ltd,2024-12-23,0.0,0.59,0.0
1045722,Broadcom Ltd,2025-03-20,57210.0,0.59,33753.9
1045686,Comcast Corp,2025-04-02,615003.0,0.33,202950.99000000002
1045719,Dow Chemical Co/The,2024-02-28,82614.0,0.7,57829.799999999996
1045719,Dow Chemical Co/The,2024-05-31,82614.0,0.7,57829.799999999996
1045719,Dow Chemical Co/The,2024-08-30,82614.0,0.7,57829.799999999996
1045719,Dow Chemical Co/The,2024-11-29,82614.0,0.7,57829.799999999996
1045719,Dow Chemical Co/The,2025-02-28,514886.0,0.7,360420.19999999995
1045719,Dow Chemical Co/The,2025-05-30,0.0,0.7,0.0
1045759,Emerson Electric Co,2025-02-14,185931.0,0.528,98171.568
1045759,Emerson Electric Co,2025-05-16,185931.0,0.528,98171.568
1009093,Alphabet Inc,2024-06-10,344953.0,0.2,68990.6
1009093,Alphabet Inc,2024-09-09,344953.0,0.2,68990.6
1009093,Alphabet Inc,2024-12-09,344953.0,0.2,68990.6
1009093,Alphabet Inc,2025-03-10,0.0,0.2,0.0
1045701,Honeywell International Inc,2024-02-29,21468.0,1.08,23185.440000000002
1045701,Honeywell International Inc,2024-05-16,21468.0,1.08,23185.440000000002
1045701,Honeywell International Inc,2024-08-16,21468.0,1.08,23185.440000000002
1045701,Honeywell International Inc,2024-11-15,21468.0,1.13,24258.839999999997
1045701,Honeywell International Inc,2025-02-28,15.0,1.13,16.95
1045701,Honeywell International Inc,2025-05-16,0.0,1.13,0.0
1045717,Lockheed Martin Corp,2025-03-03,7.0,3.3,23.099999999999998
1045663,"Motorola Solutions, Inc.",2025-03-14,3.0,1.09,3.2700000000000005
1045669,Oracle Corp,2025-04-10,11.0,0.5,5.5
1050464,Paycom Software Inc,2024-03-01,0.0,0.375,0.0
1050464,Paycom Software Inc,2024-05-24,0.0,0.375,0.0
1050464,Paycom Software Inc,2024-08-26,0.0,0.375,0.0
1050464,Paycom Software Inc,2024-11-25,0.0,0.375,0.0
1050464,Paycom Software Inc,2025-03-10,24.0,0.375,9.0
1050464,Paycom Software Inc,2025-05-27,24.0,0.375,9.0
1045855,Perrigo Co PLC,2025-03-07,20.0,0.29,5.8
1045670,QUALCOMM Inc,2025-03-06,11.0,0.85,9.35
1045766,Stryker Corp,2025-03-31,143434.0,0.84,120484.56
1045984,Universal Health Services Inc,2025-03-03,10.0,0.2,2.0
1045856,Zoetis Inc,2025-01-21,3.0,0.5,1.5
1045856,Zoetis Inc,2025-04-21,3.0,0.5,1.5
1046216,NCSOFT CORP,2025-03-21,9.0,1460.0,13140.0
1046275,SAMSUNG SDS CO LTD,2024-12-27,0.0,2900.0,0.0
1061761,KEPCO Engineering & Construction Co Inc,2024-12-27,0.0,213.0,0.0
1046195,SAMSUNG C&T CORP,2024-12-27,0.0,2600.0,0.0
1046166,KB FINANCIAL GROUP INC,2024-02-28,0.0,1530.0,0.0
1046166,KB FINANCIAL GROUP INC,2024-03-28,0.0,784.0,0.0
1046166,KB FINANCIAL GROUP INC,2024-06-27,0.0,791.0,0.0
1046166,KB FINANCIAL GROUP INC,2024-09-27,0.0,795.0,0.0
1046166,KB FINANCIAL GROUP INC,2025-02-27,0.0,804.0,0.0
1046166,KB FINANCIAL GROUP INC,2025-05-09,17.0,912.0,15504.0
1046231,HANA FINANCIAL GROUP,2025-05-09,23.0,906.0,20838.0
1046310,SK TELECOM,2024-03-28,0.0,830.0,0.0
1046310,SK TELECOM,2024-06-27,0.0,830.0,0.0
1046310,SK TELECOM,2024-09-27,0.0,830.0,0.0
1046310,SK TELECOM,2025-02-27,0.0,1050.0,0.0
1046310,SK TELECOM,2025-05-29,26.0,830.0,21580.0
1046737,LG UPLUS CORP,2025-03-28,128.0,400.0,51200.0
1012332,"Celltrion, Inc.",2024-12-27,0.0,750.0,0.0
1046188,SK INNOVATION CO LTD,2025-04-01,5.0,2000.0,10000.0
1009080,Exxon Mobil Corp,2024-02-13,87489.0,0.95,83114.55
1009080,Exxon Mobil Corp,2024-05-14,87489.0,0.95,83114.55
1009080,Exxon Mobil Corp,2024-08-15,87489.0,0.95,83114.55
1009080,Exxon Mobil Corp,2024-11-14,87489.0,0.99,86614.11
1009080,Exxon Mobil Corp,2025-02-12,87489.0,0.99,86614.11
1009080,Exxon Mobil Corp,2025-05-15,431784.0,0.99,427466.16
1045647,Corning Inc,2024-02-28,8123423.0,0.28,2274558.4400000004
1045647,Corning Inc,2024-05-31,8123423.0,0.28,2274558.4400000004
1045647,Corning Inc,2024-08-30,8123423.0,0.28,2274558.4400000004
1045647,Corning Inc,2024-11-15,8123423.0,0.28,2274558.4400000004
1045647,Corning Inc,2025-02-28,0.0,0.28,0.0
1045647,Corning Inc,2025-05-30,1075753.0,0.28,301210.84
