Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2020-01-02,1046645,NWS HOLDINGS LTD,SELL,861886.0,0.0
2020-01-02,1046468,COSCO SHIPPING Ports Ltd,SELL,1469641.0,0.0
2020-01-02,1046444,WEICHAI POWER CO LTD-H,BUY,550274.0,550274.0
2020-01-16,1046254,CHINA COMMUNICATIONS CONST-H,SELL,984857.0,0.0
2020-01-16,1046617,CHINA STATE CONSTRUCTION INTERNATI,BUY,923116.0,923116.0
2020-02-04,1009152,"Bank of Communications Co., Ltd.",SELL,2598597.0,0.0
2020-02-04,1009162,Industrial and Commercial Bank of China Limited,BUY,2624981.0,7159249.0
2020-03-02,1046150,CTRIP.COM INTERNATIONAL ADR REPRE,SELL,67519.0,0.0
2020-03-02,1046146,JD.COM ADR REPRESENTING INC CLASS,BUY,47381.0,47381.0
2020-03-31,1046234,SAMSUNG LIFE INSURANCE CO LT,BUY,1151.0,1151.0
2020-03-31,1046627,DONGBU INSURANCE LTD,BUY,1515.0,1515.0
2020-03-31,1046149,SHINHAN FINANCIAL GROUP LTD,BUY,1716.0,1716.0
2020-03-31,1046735,BNK FINANCIAL GROUP INC,BUY,11373.0,11373.0
2020-03-31,1046370,SAMSUNG SECURITIES CO LTD,BUY,1703.0,1703.0
2020-03-31,1046454,SAMSUNG CARD CO,BUY,1671.0,1671.0
2020-03-31,1046569,SK NETWORKS CO LTD,BUY,100648.0,100648.0
2020-03-31,1046159,POSCO,BUY,306.0,306.0
2020-03-31,1046309,KOREA ZINC CO LTD,BUY,145.0,145.0
2020-03-31,1046614,S-OIL CORP,BUY,1031.0,1031.0
2020-03-31,1061574,Hyundai Heavy Industries Holdings Co Ltd,BUY,265.0,265.0
2020-03-31,1046736,DAELIM INDUSTRIAL LTD,BUY,769.0,769.0
2020-03-31,1046195,SAMSUNG C&T CORP,BUY,552.0,552.0
2020-03-31,1046165,AMOREPACIFIC CORP,BUY,2767.0,2767.0
2020-03-31,1046141,HYUNDAI MOTOR,BUY,561.0,561.0
2020-03-31,1046217,HANKOOK TIRE CO LTD,BUY,2645.0,2645.0
2020-03-31,1046740,HANON SYSTEMS,BUY,5456.0,5456.0
2020-03-31,1046216,NCSOFT CORP,BUY,742.0,742.0
2020-03-31,1046319,KAKAO CORP,BUY,3061.0,3061.0
2020-03-31,1046388,S-1 CORPORATION,BUY,630.0,630.0
2020-03-31,1046512,CHEIL WORLDWIDE INC,BUY,3248.0,3248.0
