Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
015760.KS,KEPCO,2024-12-27,213.0,,,,,,,,,,,KEPCO Engineering & Construction Co Inc
028260.KS,SAMSUNG C&T,2024-12-27,2600.0,,,,,,,,,,,SAMSUNG C&T CORP
105560.KS,KBFinancialGroup,2024-02-28,1530.0,2024-03-28,784.0,2024-06-27,791.0,2024-09-27,795.0,2025-02-27,804.0,2025-05-09,912.0,KB FINANCIAL GROUP INC
086790.KS,HANAFINANCIALGR,2024-02-27,1600.0,2024-03-28,600.0,2024-06-27,600.0,2024-09-27,600.0,2025-02-27,1800.0,2025-05-09,906.0,HANA FINANCIAL GROUP
017670.KS,SKTelecom,2024-03-28,830.0,2024-06-27,830.0,2024-09-27,830.0,2025-02-27,1050.0,2025-05-29,830.0,,,SK TELECOM
012750.KS,S-1,2024-12-27,2700.0,,,,,,,,,,,S-1
009240.KS,Hanssem,2024-03-28,750.0,2024-06-27,1580.0,2024-09-27,6200.0,,,,,,,HANSSEM CO LTD
000210.KS,DL,2024-12-27,1000.0,,,,,,,,,,,DL
032640.KS,LG Uplus,2024-08-08,250.0,2025-03-28,400.0,,,,,,,,,LG UPLUS CORP
055550.KS,ShinhanGroup,2024-02-22,525.0,2024-03-28,540.0,2024-06-27,540.0,2024-09-27,540.0,2025-02-20,540.0,2025-04-30,570.0,ShinhanGroup
024110.KS,IBK,2024-03-28,984.0,2025-03-28,1065.0,,,,,,,,,IBK
001060.KS,JWPHARMA,2024-12-27,450.0,,,,,,,,,,,JWPHARMA
068270.KS,Celltrion,2024-12-27,750.0,,,,,,,,,,,"Celltrion, Inc."
006360.KS,GS E&C,2025-02-27,300.0,,,,,,,,,,,GS E&C
000990.KS,DB HiTek,2025-03-05,1230.0,,,,,,,,,,,DB HiTek Co Ltd
096770.KS,SK Innovation,2025-04-01,2000.0,,,,,,,,,,,SK INNOVATION CO LTD
XOM,Exxon Mobil Corporation,2024-02-13,0.95,2024-05-14,0.95,2024-08-15,0.95,2024-11-14,0.99,2025-02-12,0.99,2025-05-15,0.99,Exxon Mobil Corp
GLW,Corning Incorporated,2024-02-28,0.28,2024-05-31,0.28,2024-08-30,0.28,2024-11-15,0.28,2025-02-28,0.28,2025-05-30,0.28,Corning Inc
VZ,Verizon Communications Inc.,2024-01-09,0.665,2024-04-09,0.665,2024-07-10,0.665,2024-10-10,0.678,2025-01-10,0.678,2025-04-10,0.678,Verizon Communications Inc
HPE,Hewlett Packard Enterprise Comp,2024-03-14,0.13,2024-06-18,0.13,2024-09-19,0.13,2024-12-20,0.13,2025-03-21,0.13,,,Hewlett Packard Enterprise Co
CHRW,"C.H. Robinson Worldwide, Inc.",2024-02-29,0.61,2024-06-07,0.61,2024-09-06,0.62,2024-12-06,0.62,2025-03-07,0.62,,,CH Robinson Worldwide Inc
DUK,Duke Energy Corporation (Holdin,2024-02-15,1.025,2024-05-16,1.025,2024-08-16,1.045,2024-11-15,1.045,2025-02-14,1.045,2025-05-16,1.045,Duke Energy Corp
GOOG,Alphabet Inc.,2024-06-10,0.2,2024-09-09,0.2,2024-12-09,0.2,2025-03-10,0.2,,,,,Alphabet Inc
T,AT&T Inc.,2024-01-09,0.278,2024-04-09,0.278,2024-07-10,0.278,2024-10-10,0.278,2025-01-10,0.278,2025-04-10,0.278,AT&T Inc
APH,Amphenol Corporation,2024-03-18,0.11,2024-06-18,0.11,2024-09-17,0.165,2024-12-17,0.165,2025-03-18,0.165,,,Amphenol Corp
BAC,Bank of America Corporation,2024-02-29,0.24,2024-06-07,0.24,2024-09-06,0.26,2024-12-06,0.26,2025-03-07,0.26,,,Bank of America Corp
CRM,"Salesforce, Inc.",2024-03-13,0.4,2024-07-09,0.4,2024-09-18,0.4,2024-12-18,0.4,2025-04-10,0.416,,,salesforce.com Inc
CSCO,"Cisco Systems, Inc.",2024-01-03,0.39,2024-04-03,0.4,2024-07-05,0.4,2024-10-02,0.4,2025-01-03,0.4,2025-04-03,0.41,Cisco Systems Inc
CVX,Chevron Corporation,2024-02-15,1.63,2024-05-16,1.63,2024-08-19,1.63,2024-11-18,1.63,2025-02-14,1.71,2025-05-19,1.71,Chevron Corp
DFS,Discover Financial Services,2024-02-21,0.7,2024-05-22,0.7,2024-08-22,0.7,2024-11-21,0.7,2025-02-20,0.7,2025-05-23,0.7,Discover Financial Services
DG,Dollar General Corporation,2024-01-08,0.59,2024-04-08,0.59,2024-07-09,0.59,2024-10-08,0.59,2025-01-07,0.59,2025-04-08,0.59,Dollar General Corp
EXPE,"Expedia Group, Inc.",2025-03-06,0.4,2025-05-29,0.4,,,,,,,,,Expedia Inc
GRMN,Garmin Ltd.,2024-03-14,0.73,2024-06-17,0.75,2024-09-13,0.75,2024-12-13,0.75,2025-03-14,0.75,,,Garmin Ltd
GS,"Goldman Sachs Group, Inc. (The)",2024-02-28,2.75,2024-05-30,2.75,2024-08-30,3.0,2024-12-02,3.0,2025-02-28,3.0,2025-05-30,3.0,Goldman Sachs Group Inc/The
HCA,"HCA Healthcare, Inc.",2024-03-14,0.66,2024-06-14,0.66,2024-09-16,0.66,2024-12-13,0.66,2025-03-17,0.72,,,HCA Healthcare Inc
INTC,Intel Corporation,2024-02-06,0.125,2024-05-06,0.125,2024-08-07,0.125,,,,,,,Intel Corp
INTU,Intuit Inc.,2024-01-09,0.9,2024-04-09,0.9,2024-07-10,0.9,2024-10-10,1.04,2025-01-10,1.04,2025-04-10,1.04,Intuit Inc
JPM,JP Morgan Chase & Co.,2024-01-04,1.05,2024-04-04,1.15,2024-07-05,1.15,2024-10-04,1.25,2025-01-06,1.25,2025-04-04,1.4,JPMorgan Chase & Co
META,"Meta Platforms, Inc.",2024-02-21,0.5,2024-06-14,0.5,2024-09-16,0.5,2024-12-16,0.5,2025-03-14,0.525,,,"Meta Platforms, Inc."
MS,Morgan Stanley,2024-01-30,0.85,2024-04-29,0.85,2024-07-31,0.925,2024-10-31,0.925,2025-01-31,0.925,2025-04-30,0.925,Morgan Stanley
NWL,Newell Brands Inc.,2024-02-28,0.07,2024-05-31,0.07,2024-08-30,0.07,2024-11-29,0.07,2025-02-28,0.07,2025-05-30,0.07,Newell Brands Inc
NWSA,News Corporation,2024-03-12,0.1,2024-09-11,0.1,2025-03-12,0.1,,,,,,,News Corp
PBI,Pitney Bowes Inc.,2024-02-08,0.05,2024-05-22,0.05,2024-08-22,0.05,2024-11-18,0.05,2025-02-21,0.06,2025-05-19,0.07,Pitney Bowes Inc.
RCL,Royal Caribbean Cruises Ltd.,2024-09-20,0.4,2024-12-27,0.55,2025-03-07,0.75,,,,,,,Royal Caribbean Cruises Ltd
SYF,Synchrony Financial,2024-02-02,0.25,2024-05-03,0.25,2024-08-05,0.25,2024-11-04,0.25,2025-02-03,0.25,2025-05-05,0.3,Synchrony Financial
TGT,Target Corporation,2024-02-20,1.1,2024-05-14,1.1,2024-08-21,1.12,2024-11-20,1.12,2025-02-12,1.12,2025-05-14,1.12,Target Corp
VRSK,"Verisk Analytics, Inc.",2024-03-14,0.39,2024-06-14,0.39,2024-09-13,0.39,2024-12-13,0.39,2025-03-14,0.45,,,Verisk Analytics Inc
VRSN,"VeriSign, Inc.",2025-05-19,0.77,,,,,,,,,,,VeriSign Inc
WFC,Wells Fargo & Company,2024-02-01,0.35,2024-05-09,0.35,2024-08-09,0.4,2024-11-08,0.4,2025-02-07,0.4,2025-05-09,0.4,Wells Fargo & Co
004000.KS,LOTTE Fine Chem,2025-03-28,1400.0,,,,,,,,,,,LOTTE Fine Chemical Co Ltd
KMB,Kimberly-Clark Corporation,2024-03-07,1.22,2024-06-07,1.22,2024-09-06,1.22,2024-12-06,1.22,2025-03-07,1.26,,,Kimberly-Clark Corp
2382.TW,QUANTA COMPUTER,2024-04-12,9.0,,,,,,,,,,,QUANTA COMPUTER INC
TMO,Thermo Fisher Scientific Inc,2024-03-14,0.39,2024-06-14,0.39,2024-09-13,0.39,2024-12-13,0.39,2025-03-14,0.43,,,Thermo Fisher Scientific Inc
267250.KS,HD HYUNDAI,2024-03-28,900.0,2024-06-27,900.0,2024-09-27,900.0,2025-02-27,900.0,2025-03-28,900.0,,,HYUNDAI MOTOR
