Product_ID,Product_Name,Date,Transaction_Type,Units,Cumulative_Quantity
1046525,CHINA JINMAO HOLDINGS GROUP,2023-04-01,BUY,11339092.0,22678184.0
1046525,CHINA JINMAO HOLDINGS GROUP,2023-04-01,BUY,11339092.0,34017276.0
1046525,CHINA JINMAO HOLDINGS GROUP,2023-04-01,BUY,16458869.0,50476145.0
1046525,CHINA JINMAO HOLDINGS GROUP,2025-01-20,SELL,11339092.0,39137053.0
1046525,CHINA JINMAO HOLDINGS GROUP,2025-01-20,SELL,27797961.0,11339092.0
1046525,CHINA JINMAO HOLDINGS GROUP,2025-01-20,SELL,11339092.0,0.0
1046193,CHINA MERCHANTS BANK CO. LTD H,2017-12-01,BUY,585939.0,585939.0
1046193,CHINA MERCHANTS BANK CO. LTD H,2018-12-03,SELL,585939.0,0.0
1046526,CHINA OILFIELD SERVICES-H,2020-08-31,BUY,1758575.0,1758575.0
1046526,CHINA OILFIELD SERVICES-H,2021-02-01,SELL,1758575.0,0.0
1046526,CHINA OILFIELD SERVICES-H,2025-01-20,BUY,1326760.0,1326760.0
1046526,CHINA OILFIELD SERVICES-H,2025-01-20,BUY,3202782.0,4529542.0
1046526,CHINA OILFIELD SERVICES-H,2025-01-20,BUY,1326760.0,5856302.0
1046526,CHINA OILFIELD SERVICES-H,2025-01-20,BUY,2000.0,5858302.0
1046179,CHINA PACIFIC INSURANCE (GROUP) LT,2020-01-02,BUY,521120.0,521120.0
1046179,CHINA PACIFIC INSURANCE (GROUP) LT,2020-05-15,SELL,521120.0,0.0
1046678,CHINA RAILWAY CONSTRUCTION CORP LT,2017-06-30,BUY,912581.0,912581.0
1046678,CHINA RAILWAY CONSTRUCTION CORP LT,2017-12-15,SELL,912581.0,0.0
1046626,CHINA RAILWAY GROUP LTD H,2017-12-01,BUY,1490171.0,1490171.0
1046626,CHINA RAILWAY GROUP LTD H,2018-08-01,SELL,1490171.0,0.0
1046204,CHINA RESOURCES LAND LTD,2018-08-01,BUY,1432901.0,1432901.0
1046204,CHINA RESOURCES LAND LTD,2023-03-31,SELL,1432901.0,0.0
1046204,CHINA RESOURCES LAND LTD,2025-01-20,BUY,663380.0,663380.0
1046204,CHINA RESOURCES LAND LTD,2025-01-20,BUY,1601391.0,2264771.0
1046204,CHINA RESOURCES LAND LTD,2025-01-20,BUY,663380.0,2928151.0
1046204,CHINA RESOURCES LAND LTD,2025-01-20,BUY,1000.0,2929151.0
1046240,CHINA SHENHUA ENERGY CO-H,2019-04-01,BUY,696052.0,696052.0
1046240,CHINA SHENHUA ENERGY CO-H,2020-08-31,SELL,696052.0,0.0
1046460,CHINA SOUTHERN AIRLINES CO-H,2017-10-16,BUY,1260350.0,1260350.0
1046460,CHINA SOUTHERN AIRLINES CO-H,2017-12-01,SELL,1260350.0,0.0
1046460,CHINA SOUTHERN AIRLINES CO-H,2025-01-20,BUY,2653520.0,2653520.0
1046460,CHINA SOUTHERN AIRLINES CO-H,2025-01-20,BUY,6405564.0,9059084.0
1046460,CHINA SOUTHERN AIRLINES CO-H,2025-01-20,BUY,2653520.0,11712604.0
1046460,CHINA SOUTHERN AIRLINES CO-H,2025-01-20,BUY,4000.0,11716604.0
1046617,CHINA STATE CONSTRUCTION INTERNATI,2020-01-16,BUY,923116.0,923116.0
1046617,CHINA STATE CONSTRUCTION INTERNATI,2020-07-15,SELL,923116.0,0.0
1046333,CHINA TAIPING INSURANCE HOLD,2017-05-15,BUY,816055.0,816055.0
1046333,CHINA TAIPING INSURANCE HOLD,2018-11-01,SELL,816055.0,0.0
1046229,CHINA TELECOM CORP LTD-H,2017-02-28,BUY,4846156.0,4846156.0
1046229,CHINA TELECOM CORP LTD-H,2017-12-01,SELL,4846156.0,0.0
1046229,CHINA TELECOM CORP LTD-H,2018-02-28,BUY,4889226.0,4889226.0
1046229,CHINA TELECOM CORP LTD-H,2018-11-01,SELL,4889226.0,0.0
1046229,CHINA TELECOM CORP LTD-H,2021-04-30,BUY,2502236.0,2502236.0
1046229,CHINA TELECOM CORP LTD-H,2023-04-01,BUY,2502236.0,5004472.0
1046229,CHINA TELECOM CORP LTD-H,2023-04-01,BUY,2502236.0,7506708.0
1046229,CHINA TELECOM CORP LTD-H,2023-04-01,BUY,3632035.0,11138743.0
1046229,CHINA TELECOM CORP LTD-H,2025-01-20,SELL,2502236.0,8636507.0
1046229,CHINA TELECOM CORP LTD-H,2025-01-20,SELL,2502236.0,6134271.0
1046229,CHINA TELECOM CORP LTD-H,2025-01-20,SELL,6134271.0,0.0
1046326,CHINA VANKE LTD H,2017-05-31,BUY,1777910.0,1777910.0
1046326,CHINA VANKE LTD H,2023-03-31,SELL,1777910.0,0.0
1046239,CITIC LTD,2024-05-01,BUY,251809.0,251809.0
1046239,CITIC LTD,2024-05-01,BUY,102613.0,354422.0
1046239,CITIC LTD,2024-05-01,BUY,102613.0,457035.0
1046239,CITIC LTD,2025-01-20,SELL,102613.0,354422.0
1046239,CITIC LTD,2025-01-20,SELL,102613.0,251809.0
1046239,CITIC LTD,2025-01-20,SELL,251809.0,0.0
1046669,CJ CORP,2020-03-31,BUY,772.0,772.0
1046669,CJ CORP,2021-04-30,SELL,772.0,0.0
1045767,CME Group Inc,2021-06-29,BUY,23865.0,23865.0
1045767,CME Group Inc,2025-03-26,SELL,23865.0,0.0
1009158,CNOOC Ltd,2018-04-16,BUY,975786.0,975786.0
1009158,CNOOC Ltd,2018-09-17,SELL,975786.0,0.0
1046468,COSCO SHIPPING Ports Ltd,2019-03-01,BUY,1469641.0,1469641.0
1046468,COSCO SHIPPING Ports Ltd,2020-01-02,SELL,1469641.0,0.0
1046701,COUNTRY GARDEN HOLDINGS LTD,2019-09-02,BUY,3421263.0,3421263.0
1046701,COUNTRY GARDEN HOLDINGS LTD,2023-03-31,SELL,3421263.0,0.0
1046312,CRRC CORP LTD - H,2025-01-20,BUY,1326760.0,1326760.0
1046312,CRRC CORP LTD - H,2025-01-20,BUY,3202782.0,4529542.0
1046312,CRRC CORP LTD - H,2025-01-20,BUY,1326760.0,5856302.0
1046312,CRRC CORP LTD - H,2025-01-20,BUY,2000.0,5858302.0
1046150,CTRIP.COM INTERNATIONAL ADR REPRE,2018-04-02,BUY,67519.0,67519.0
1046150,CTRIP.COM INTERNATIONAL ADR REPRE,2020-03-02,SELL,67519.0,0.0
1045691,CVS Health Corp,2021-06-29,BUY,60468.0,60468.0
1045691,CVS Health Corp,2021-06-30,BUY,60468.0,120936.0
1045691,CVS Health Corp,2024-05-02,SELL,60468.0,60468.0
1045691,CVS Health Corp,2024-05-02,SELL,60468.0,0.0
1045828,Carnival Corp,2025-03-26,BUY,31.0,31.0
1045828,Carnival Corp,2025-03-26,BUY,2223223.0,2223254.0
1050511,Catalent Inc,2021-06-29,BUY,43376.0,43376.0
1050511,Catalent Inc,2021-06-30,BUY,43376.0,86752.0
1050511,Catalent Inc,2025-01-21,SELL,43376.0,43376.0
1050511,Catalent Inc,2025-03-26,SELL,43376.0,0.0
1012332,"Celltrion, Inc.",2021-04-30,BUY,4759.0,4759.0
1012332,"Celltrion, Inc.",2021-07-16,SELL,4759.0,0.0
1012332,"Celltrion, Inc.",2025-03-21,BUY,3635.0,3635.0
1012332,"Celltrion, Inc.",2025-03-24,BUY,9.0,3644.0
1046776,Charter Communications Inc,2021-06-29,BUY,6937.0,6937.0
1046776,Charter Communications Inc,2021-06-30,BUY,6937.0,13874.0
1046776,Charter Communications Inc,2022-10-18,SELL,6937.0,6937.0
1046776,Charter Communications Inc,2022-10-18,SELL,6937.0,0.0
1046776,Charter Communications Inc,2025-03-26,BUY,2.0,2.0
1046776,Charter Communications Inc,2025-03-26,BUY,143434.0,143436.0
1048785,Cheetah Mobile Inc,2021-06-29,BUY,2220666.0,2220666.0
1048785,Cheetah Mobile Inc,2021-06-30,BUY,2220666.0,4441332.0
1048785,Cheetah Mobile Inc,2022-09-29,SELL,2220666.0,2220666.0
1048785,Cheetah Mobile Inc,2022-09-29,SELL,2220666.0,0.0
1050518,Chemed Corp,2024-02-05,BUY,6088.0,6088.0
1050518,Chemed Corp,2024-05-02,BUY,6088.0,12176.0
1050518,Chemed Corp,2025-01-21,BUY,3.0,12179.0
1050518,Chemed Corp,2025-01-21,BUY,15334.0,27513.0
1050518,Chemed Corp,2025-03-26,SELL,6088.0,21425.0
1012334,Chesapeake Energy Corp,2021-06-29,BUY,185124.0,185124.0
1012334,Chesapeake Energy Corp,2022-07-15,SELL,185124.0,0.0
1009174,Cheung Kong (Holdings) Limited,2017-02-28,BUY,160178.0,160178.0
1009174,Cheung Kong (Holdings) Limited,2019-01-02,SELL,160178.0,0.0
1045683,Chevron Corp,2025-03-26,BUY,4.0,4.0
1045683,Chevron Corp,2025-03-26,BUY,286867.0,286871.0
1009467,China Construction Bank Corporation,2017-02-28,BUY,2488905.0,2488905.0
1009467,China Construction Bank Corporation,2017-12-01,SELL,2488905.0,0.0
1009156,China Life Insurance Co. Ltd.,2017-02-28,BUY,515020.0,515020.0
