TRANSACTION_ID,TRANSACTION_TYPE,PRODUCT_ID,TYPE,T_DATE,UNIT,PRICE,COMMISSION,STATUS,NOTES,ADDENUM,UPDATE_DATE,PORTFOLIO_ID,CASH_ACCOUNT,,,
225298,CASH,1012080,BUY,2/28/2017 10:04,100000000,1,0,CONFIRMED,INITIAL CASH,NULL,2/20/2025 10:06,4378,USD,,,
225305,INVESTMENT,1046637,BUY,2/28/2017 12:12,334401,46.4,0,CONFIRMED,,NULL,2/20/2025 12:13,4378,HKD,,,
225306,CASH,1012089,SELL,2/28/2017 12:12,15516206.4,1,0,CONFIRMED,CASH TRANSACTION FOR 225305,NULL,2/20/2025 12:13,4378,HKD,,,
225307,INVESTMENT,1009161,BUY,2/28/2017 12:14,2677923,5.91,0,CONFIRMED,,NULL,2/20/2025 12:15,4378,HKD,,,
225308,CASH,1012089,SELL,2/28/2017 12:14,15826524.93,1,0,CONFIRMED,CASH TRANSACTION FOR 225307,NULL,2/20/2025 12:15,4378,HKD,,,
225309,INVESTMENT,1046334,BUY,2/28/2017 12:15,288013,38.25,0,CONFIRMED,,NULL,2/20/2025 12:16,4378,HKD,,,
225310,CASH,1012089,SELL,2/28/2017 12:15,11016497.25,1,0,CONFIRMED,CASH TRANSACTION FOR 225309,NULL,2/20/2025 12:16,4378,HKD,,,
225311,INVESTMENT,1009156,BUY,2/28/2017 12:17,515020,23.65,0,CONFIRMED,,NULL,2/20/2025 12:18,4378,HKD,,,
225312,CASH,1012089,SELL,2/28/2017 12:17,12180223,1,0,CONFIRMED,CASH TRANSACTION FOR 225311,NULL,2/20/2025 12:18,4378,HKD,,,
225313,INVESTMENT,1046261,BUY,2/28/2017 12:18,987494,14.22,0,CONFIRMED,,NULL,2/20/2025 12:19,4378,HKD,,,
225314,CASH,1012089,SELL,2/28/2017 12:18,14042164.68,1,0,CONFIRMED,CASH TRANSACTION FOR 225313,NULL,2/20/2025 12:19,4378,HKD,,,
225315,INVESTMENT,1046685,BUY,2/28/2017 12:19,2314177,7.61,0,CONFIRMED,,NULL,2/20/2025 12:20,4378,HKD,,,
225316,CASH,1012089,SELL,2/28/2017 12:19,17610886.97,1,0,CONFIRMED,CASH TRANSACTION FOR 225315,NULL,2/20/2025 12:20,4378,HKD,,,
225317,INVESTMENT,1009467,BUY,2/28/2017 12:20,2488905,6.39,0,CONFIRMED,,NULL,2/20/2025 12:20,4378,HKD,,,
225318,CASH,1012089,SELL,2/28/2017 12:20,15904102.95,1,0,CONFIRMED,CASH TRANSACTION FOR 225317,NULL,2/20/2025 12:20,4378,HKD,,,
225319,INVESTMENT,1046397,BUY,2/28/2017 12:21,1139754,5.99,0,CONFIRMED,,NULL,2/20/2025 12:21,4378,HKD,,,
225320,CASH,1012089,SELL,2/28/2017 12:21,6827126.46,1,0,CONFIRMED,CASH TRANSACTION FOR 225319,NULL,2/20/2025 12:21,4378,HKD,,,
225321,INVESTMENT,1046605,BUY,2/28/2017 12:22,128028,40.6,0,CONFIRMED,,NULL,2/20/2025 12:23,4378,HKD,,,
225322,CASH,1012089,SELL,2/28/2017 12:22,5197936.8,1,0,CONFIRMED,CASH TRANSACTION FOR 225321,NULL,2/20/2025 12:23,4378,HKD,,,
225323,INVESTMENT,1046481,BUY,2/28/2017 12:23,1276362,17.08,0,CONFIRMED,,NULL,2/20/2025 12:24,4378,HKD,,,
225324,CASH,1012089,SELL,2/28/2017 12:23,21800262.96,1,0,CONFIRMED,CASH TRANSACTION FOR 225323,NULL,2/20/2025 12:24,4378,HKD,,,
225325,INVESTMENT,1046154,BUY,2/28/2017 12:24,7507,305.06,0,CONFIRMED,,NULL,2/20/2025 12:25,4378,USD,,,
225326,CASH,1012080,SELL,2/28/2017 12:24,2290085.42,1,0,CONFIRMED,CASH TRANSACTION FOR 225325,NULL,2/20/2025 12:25,4378,USD,,,
225327,INVESTMENT,1046419,BUY,2/20/2025 12:25,342282,2.98,0,CONFIRMED,,NULL,2/20/2025 12:26,4378,USD,,,
225328,CASH,1012080,SELL,2/20/2025 12:25,1020000.36,1,0,CONFIRMED,CASH TRANSACTION FOR 225327,NULL,2/20/2025 12:26,4378,USD,,,
225329,INVESTMENT,1012346,BUY,2/28/2017 12:26,68187,44.29,0,CONFIRMED,,NULL,2/20/2025 12:27,4378,USD,,,
225330,CASH,1012080,SELL,2/28/2017 12:26,3020002.23,1,0,CONFIRMED,CASH TRANSACTION FOR 225329,NULL,2/20/2025 12:27,4378,USD,,,
225331,INVESTMENT,1046198,BUY,2/28/2017 12:27,187903,81.75,0,CONFIRMED,,NULL,2/20/2025 12:28,4378,HKD,,,
225332,CASH,1012089,SELL,2/28/2017 12:27,15361070.25,1,0,CONFIRMED,CASH TRANSACTION FOR 225331,NULL,2/20/2025 12:28,4378,HKD,,,
225333,INVESTMENT,1009493,BUY,2/28/2017 12:28,13438,174.13,0,CONFIRMED,,NULL,2/20/2025 12:29,4378,USD,,,
225334,CASH,1012080,SELL,2/28/2017 12:28,2339958.94,1,0,CONFIRMED,CASH TRANSACTION FOR 225333,NULL,2/20/2025 12:29,4378,USD,,,
225335,INVESTMENT,1046453,BUY,2/28/2017 12:29,1592147,10.72,0,CONFIRMED,,NULL,2/20/2025 12:30,4378,HKD,,,
225336,CASH,1012089,SELL,2/28/2017 12:29,17067815.84,1,0,CONFIRMED,CASH TRANSACTION FOR 225335,NULL,2/20/2025 12:30,4378,HKD,,,
225337,INVESTMENT,1009157,BUY,2/28/2017 12:30,1668320,9.44,0,CONFIRMED,,NULL,2/20/2025 12:31,4378,HKD,,,
225338,CASH,1012089,SELL,2/28/2017 12:30,15748940.8,1,0,CONFIRMED,CASH TRANSACTION FOR 225337,NULL,2/20/2025 12:31,4378,HKD,,,
225339,INVESTMENT,1046229,BUY,2/28/2017 12:31,4846156,3.65,0,CONFIRMED,,NULL,2/20/2025 12:32,4378,HKD,,,
225340,CASH,1012089,SELL,2/28/2017 12:31,17688469.4,1,0,CONFIRMED,CASH TRANSACTION FOR 225339,NULL,2/20/2025 12:32,4378,HKD,,,
225341,INVESTMENT,1009169,BUY,2/28/2017 12:32,258190,62.5,0,CONFIRMED,,NULL,2/20/2025 12:33,4378,HKD,,,
225342,CASH,1012089,SELL,2/28/2017 12:32,16136875,1,0,CONFIRMED,CASH TRANSACTION FOR 225341,NULL,2/20/2025 12:33,4378,HKD,,,
225343,INVESTMENT,1046164,BUY,2/28/2017 12:33,520576,30.7,0,CONFIRMED,,NULL,2/20/2025 12:33,4378,HKD,,,
225344,CASH,1012089,SELL,2/28/2017 12:33,15981683.2,1,0,CONFIRMED,CASH TRANSACTION FOR 225343,NULL,2/20/2025 12:33,4378,HKD,,,
225345,INVESTMENT,1009174,BUY,2/28/2017 12:34,160178,95.9,0,CONFIRMED,,NULL,2/20/2025 12:34,4378,HKD,,,
225346,CASH,1012089,SELL,2/28/2017 12:34,15361070.2,1,0,CONFIRMED,CASH TRANSACTION FOR 225345,NULL,2/20/2025 12:34,4378,HKD,,,
225347,INVESTMENT,1046142,BUY,2/28/2017 12:35,130555,113.5,0,CONFIRMED,,NULL,2/20/2025 12:35,4378,HKD,,,
225348,CASH,1012089,SELL,2/28/2017 12:35,14817992.5,1,0,CONFIRMED,CASH TRANSACTION FOR 225347,NULL,2/20/2025 12:35,4378,HKD,,,
225349,INVESTMENT,1046241,BUY,2/28/2017 12:36,1496641,10.16,0,CONFIRMED,,NULL,2/20/2025 12:36,4378,HKD,,,
225350,CASH,1012089,SELL,2/28/2017 12:36,15205872.56,1,0,CONFIRMED,CASH TRANSACTION FOR 225349,NULL,2/20/2025 12:36,4378,HKD,,,
225351,INVESTMENT,1046653,BUY,2/28/2017 12:37,342925,50.45,0,CONFIRMED,,NULL,2/20/2025 12:37,4378,HKD,,,
225352,CASH,1012089,SELL,2/28/2017 12:37,17300566.25,1,0,CONFIRMED,CASH TRANSACTION FOR 225351,NULL,2/20/2025 12:37,4378,HKD,,,
225353,INVESTMENT,1046148,BUY,2/28/2017 12:37,238368,69.65,0,CONFIRMED,,NULL,2/20/2025 12:38,4378,HKD,,,
225354,CASH,1012089,SELL,2/28/2017 12:37,16602331.2,1,0,CONFIRMED,CASH TRANSACTION FOR 225353,NULL,2/20/2025 12:38,4378,HKD,,,
225381,INVESTMENT,1046381,BUY,2/28/2017 12:52,8010312,8.27,0,CONFIRMED,,NULL,2/20/2025 12:52,4378,TWD,,,
225382,CASH,1046922,SELL,2/28/2017 12:52,66245280.24,1,0,CONFIRMED,CASH TRANSACTION FOR 225381,NULL,2/20/2025 12:52,4378,TWD,,,
225383,INVESTMENT,1046633,BUY,2/28/2017 12:52,4439763,13,0,CONFIRMED,,NULL,2/20/2025 12:53,4378,TWD,,,
225384,CASH,1046922,SELL,2/28/2017 12:52,57716919,1,0,CONFIRMED,CASH TRANSACTION FOR 225383,NULL,2/20/2025 12:53,4378,TWD,,,
225385,INVESTMENT,1046572,BUY,2/28/2017 12:53,1057086,45.5,0,CONFIRMED,,NULL,2/20/2025 12:53,4378,TWD,,,
225386,CASH,1046922,SELL,2/28/2017 12:53,48097413,1,0,CONFIRMED,CASH TRANSACTION FOR 225385,NULL,2/20/2025 12:53,4378,TWD,,,
225387,INVESTMENT,1046679,BUY,2/28/2017 12:54,4567704,12.5,0,CONFIRMED,,NULL,2/20/2025 12:54,4378,TWD,,,
225388,CASH,1046922,SELL,2/28/2017 12:54,57096300,1,0,CONFIRMED,CASH TRANSACTION FOR 225387,NULL,2/20/2025 12:54,4378,TWD,,,
225389,INVESTMENT,1046269,BUY,2/28/2017 12:54,5597677,12.75,0,CONFIRMED,,NULL,2/20/2025 12:55,4378,TWD,,,
225390,CASH,1046922,SELL,2/28/2017 12:54,71370381.75,1,0,CONFIRMED,CASH TRANSACTION FOR 225389,NULL,2/20/2025 12:55,4378,TWD,,,
225391,INVESTMENT,1046439,BUY,2/28/2017 12:55,869692,89.2,0,CONFIRMED,,NULL,2/20/2025 12:55,4378,TWD,,,
225392,CASH,1046922,SELL,2/28/2017 12:55,77576526.4,1,0,CONFIRMED,CASH TRANSACTION FOR 225391,NULL,2/20/2025 12:55,4378,TWD,,,
225393,INVESTMENT,1046601,BUY,2/28/2017 12:56,1440061,51.5,0,CONFIRMED,,NULL,2/20/2025 12:56,4378,TWD,,,
225394,CASH,1046922,SELL,2/28/2017 12:56,74163141.5,1,0,CONFIRMED,CASH TRANSACTION FOR 225393,NULL,2/20/2025 12:56,4378,TWD,,,
225395,INVESTMENT,1046415,BUY,2/28/2017 12:57,256765,269.5,0,CONFIRMED,,NULL,2/20/2025 12:57,4378,TWD,,,
225396,CASH,1046922,SELL,2/28/2017 12:57,69198167.5,1,0,CONFIRMED,CASH TRANSACTION FOR 225395,NULL,2/20/2025 12:57,4378,TWD,,,
225397,INVESTMENT,1046182,BUY,2/28/2017 12:57,806962,74.6,0,CONFIRMED,,NULL,2/20/2025 12:58,4378,TWD,,,
225398,CASH,1046922,SELL,2/28/2017 12:57,60199365.2,1,0,CONFIRMED,CASH TRANSACTION FOR 225397,NULL,2/20/2025 12:58,4378,TWD,,,
225399,DIVIDEND,1012080,BUY,3/1/2017 13:04,7582.07,1,0,CONFIRMED,DIVIDEND FOR PRODUCT 1046154,NULL,2/20/2025 13:07,4378,USD,,,
225400,DIVIDEND,1012089,BUY,3/10/2017 13:08,658522.04,1,0,CONFIRMED,DIVIDEND FOR PRODUCT 1046241,NULL,2/20/2025 13:09,4378,HKD,,,
225401,DIVIDEND,1012089,BUY,3/13/2017 13:09,509164.5,1,0,CONFIRMED,DIVIDEND FOR PRODUCT 1046142,NULL,2/20/2025 13:10,4378,HKD,,,
225402,INVESTMENT,1046481,SELL,3/31/2017 13:10,1276362,21.4,73671.61,CONFIRMED,,NULL,2/20/2025 13:12,4378,HKD,,,
225403,CASH,1012089,BUY,3/31/2017 13:10,27240475.19,1,0,CONFIRMED,CASH TRANSACTION FOR 225402,NULL,2/20/2025 13:12,4378,HKD,,,
225404,INVESTMENT,1046124,BUY,3/31/2017 13:13,122264,222.8,0,CONFIRMED,,NULL,2/20/2025 13:13,4378,HKD,,,
225405,CASH,1012089,SELL,3/31/2017 13:13,27240419.2,1,0,CONFIRMED,CASH TRANSACTION FOR 225404,NULL,2/20/2025 13:13,4378,HKD,,,
225408,INVESTMENT,1046129,BUY,3/31/2017 13:17,385954,54.45,0,CONFIRMED,,NULL,2/20/2025 13:17,4378,HKD,,,
225409,CASH,1012089,SELL,3/31/2017 13:17,21015195.3,1,0,CONFIRMED,CASH TRANSACTION FOR 225408,NULL,2/20/2025 13:17,4378,HKD,,,
225416,INVESTMENT,1046272,BUY,4/14/2017 13:24,223029,290,0,CONFIRMED,,NULL,2/20/2025 13:25,4378,TWD,,,
225417,CASH,1046922,SELL,4/14/2017 13:24,64678410,1,0,CONFIRMED,CASH TRANSACTION FOR 225416,NULL,2/20/2025 13:25,4378,TWD,,,
225418,INVESTMENT,1046453,SELL,4/14/2017 13:25,1592147,13.76,58463.64,CONFIRMED,,NULL,2/20/2025 13:28,4378,HKD,,,
